# 2025.10.10 [*] created by TopoDroid v 6.3.52
# name: Laci-zsomboly_MM
# date: 2022.05.04
# team: LaciNemZsomboly
# declination: 5.42
# units: tape meter compass clino degree
# from, to, tape, compass, clino, extend, flags, comment
34@Laci-zsomboly_MM,34m@Laci-zsomboly_MM,0.00,0.0,-90.0,1,,""
34m@Laci-zsomboly_MM,34m1@Laci-zsomboly_MM,5.75,231.1,4.4,-1,,""
34m1@Laci-zsomboly_MM,-,9.13,15.8,71.7,,,"hasadék teteje elhúzás"
34m1@Laci-zsomboly_MM,-,4.37,4.7,-30.1,,,"öböl legszélesebb rész"
34m1@Laci-zsomboly_MM,-,4.90,249.3,11.2,,,"sáros vég"
34m1@Laci-zsomboly_MM,-,3.99,59.3,-24.9,,,"létra után "
34m1@Laci-zsomboly_MM,-,1.34,81.8,-47.4,,,"majomhíd belső vége"
34m1@Laci-zsomboly_MM,34m2@Laci-zsomboly_MM,2.36,284.3,-6.2,1,,"kötél ég alatt oszlop csőjárat bejárat"
34m2@Laci-zsomboly_MM,-,4.90,288.2,-15.5,,,""
34m2@Laci-zsomboly_MM,34m3@Laci-zsomboly_MM,1.91,313.4,-32.2,1,,"csőjárat letörés főte"
34m3@Laci-zsomboly_MM,34m4@Laci-zsomboly_MM,2.99,282.0,-32.9,1,,"jobb fal"
34m4@Laci-zsomboly_MM,-,3.62,95.6,9.4,,,"visszafelé hasadék"
34m4@Laci-zsomboly_MM,34m5@Laci-zsomboly_MM,2.01,232.0,-11.1,-1,,"lőcs középen"
34m5@Laci-zsomboly_MM,34m6@Laci-zsomboly_MM,3.56,280.5,-0.9,1,,"kőlap"
34m6@Laci-zsomboly_MM,34m7@Laci-zsomboly_MM,2.84,309.9,14.2,1,,"falba fúrt kijelölés vég jobb fal"
34m7@Laci-zsomboly_MM,34m8@Laci-zsomboly_MM,4.88,264.9,18.6,0,,""
34m8@Laci-zsomboly_MM,34m9@Laci-zsomboly_MM,1.81,273.5,22.8,0,,"cseppkőcsúcs bal fal kanyar"
34m9@Laci-zsomboly_MM,34m10@Laci-zsomboly_MM,3.05,33.2,35.1,1,,"jobb fal"
34m10@Laci-zsomboly_MM,-,5.62,236.8,-30.3,,,"alsó kérdéses végpont "
34m10@Laci-zsomboly_MM,34m12@Laci-zsomboly_MM,1.28,290.4,42.5,1,,"bal cseppkőlefolyásos fal"
34m12@Laci-zsomboly_MM,-,6.06,223.1,9.5,,,"hasadék kő"
34m12@Laci-zsomboly_MM,-,7.26,226.5,25.8,,,"hasadék vége"
34m10@Laci-zsomboly_MM,34m13@Laci-zsomboly_MM,4.90,49.8,37.6,1,,"szűk felmászás előtt jobb"
