# 2025.10.10 [*] created by TopoDroid v 6.3.52
# name: Laci-zsomboly_Paludárium
# date: 2022.09.15
# team: NemLaci
# declination: 5.47
# units: tape meter compass clino degree
# from, to, tape, compass, clino, extend, flags, comment
21@Laci-zsomboly_Paludárium,Pa1@Laci-zsomboly_Paludárium,6.20,137.4,-11.9,2,,"bebújás felett kőcsücsök"
Pa1@Laci-zsomboly_Paludárium,-,1.70,65.3,-5.4,,,""
Pa1@Laci-zsomboly_Paludárium,-,1.25,93.3,-16.2,,,""
Pa1@Laci-zsomboly_Paludárium,-,0.84,137.4,-37.7,,,""
Pa1@Laci-zsomboly_Paludárium,-,0.36,206.7,-45.0,,,""
Pa1@Laci-zsomboly_Paludárium,Pa2@Laci-zsomboly_Paludárium,1.37,110.2,-44.9,-1,,"bebújás bal fal"
Pa2@Laci-zsomboly_Paludárium,Pa3@Laci-zsomboly_Paludárium,1.45,197.4,-15.5,-1,,""
Pa3@Laci-zsomboly_Paludárium,-,0.84,232.1,15.4,,,""
Pa3@Laci-zsomboly_Paludárium,-,1.52,194.6,15.1,,,""
Pa3@Laci-zsomboly_Paludárium,-,1.31,169.6,5.5,,,""
Pa3@Laci-zsomboly_Paludárium,-,1.71,156.5,-10.8,,,""
Pa3@Laci-zsomboly_Paludárium,-,2.03,138.9,-2.9,,,""
Pa3@Laci-zsomboly_Paludárium,-,2.45,122.8,7.9,,,""
Pa3@Laci-zsomboly_Paludárium,-,0.51,115.0,13.1,,,""
Pa3@Laci-zsomboly_Paludárium,-,0.51,76.1,23.1,,,""
Pa3@Laci-zsomboly_Paludárium,-,0.69,43.5,31.4,,,""
Pa3@Laci-zsomboly_Paludárium,Pa4@Laci-zsomboly_Paludárium,1.57,171.6,-39.8,-1,,""
Pa4@Laci-zsomboly_Paludárium,-,1.26,32.7,41.1,,,""
Pa4@Laci-zsomboly_Paludárium,-,1.32,52.4,39.7,,,""
Pa4@Laci-zsomboly_Paludárium,-,2.48,60.7,39.9,,,""
Pa4@Laci-zsomboly_Paludárium,-,2.61,77.0,39.0,,,""
Pa4@Laci-zsomboly_Paludárium,-,2.35,98.0,37.4,,,""
Pa4@Laci-zsomboly_Paludárium,-,1.96,109.2,40.2,,,""
Pa4@Laci-zsomboly_Paludárium,-,0.34,115.1,36.1,,,""
Pa4@Laci-zsomboly_Paludárium,-,0.79,105.5,-1.8,,,""
Pa4@Laci-zsomboly_Paludárium,-,0.60,279.4,-24.6,,,""
Pa4@Laci-zsomboly_Paludárium,-,1.98,196.3,-35.3,,,""
Pa4@Laci-zsomboly_Paludárium,-,2.23,212.7,-29.3,,,""
Pa4@Laci-zsomboly_Paludárium,-,2.76,225.4,-25.3,,,""
Pa4@Laci-zsomboly_Paludárium,-,2.60,235.6,-20.8,,,""
Pa4@Laci-zsomboly_Paludárium,-,1.18,264.5,-9.8,,,""
Pa4@Laci-zsomboly_Paludárium,Pa5@Laci-zsomboly_Paludárium,1.69,233.2,-13.5,-1,,""
Pa5@Laci-zsomboly_Paludárium,-,1.73,230.5,15.2,,,""
Pa5@Laci-zsomboly_Paludárium,-,1.79,249.3,21.0,,,""
Pa5@Laci-zsomboly_Paludárium,-,1.81,271.2,24.3,,,""
Pa5@Laci-zsomboly_Paludárium,-,1.75,288.0,32.5,,,""
Pa5@Laci-zsomboly_Paludárium,-,1.82,330.8,42.6,,,""
Pa5@Laci-zsomboly_Paludárium,-,0.95,8.8,37.8,,,""
Pa5@Laci-zsomboly_Paludárium,-,1.00,26.9,37.5,,,""
Pa5@Laci-zsomboly_Paludárium,-,1.20,133.1,-33.8,,,""
Pa5@Laci-zsomboly_Paludárium,-,1.53,209.6,-5.8,,,""
Pa5@Laci-zsomboly_Paludárium,-,1.69,224.8,15.9,,,""
Pa5@Laci-zsomboly_Paludárium,Pa6@Laci-zsomboly_Paludárium,1.52,209.6,-5.5,-1,,""
Pa6@Laci-zsomboly_Paludárium,-,1.98,187.0,24.8,,,""
Pa6@Laci-zsomboly_Paludárium,-,1.87,165.4,8.3,,,""
Pa6@Laci-zsomboly_Paludárium,-,1.86,144.7,-0.9,,,""
Pa6@Laci-zsomboly_Paludárium,-,1.70,83.9,-37.0,,,""
Pa6@Laci-zsomboly_Paludárium,-,1.66,98.6,-37.6,,,""
Pa6@Laci-zsomboly_Paludárium,-,1.96,106.8,-35.3,,,""
Pa6@Laci-zsomboly_Paludárium,-,2.50,130.1,-15.6,,,""
Pa6@Laci-zsomboly_Paludárium,Pa7@Laci-zsomboly_Paludárium,2.65,127.0,-24.4,-1,,""
Pa7@Laci-zsomboly_Paludárium,-,0.26,170.3,21.1,,,""
Pa7@Laci-zsomboly_Paludárium,-,0.50,244.9,40.3,,,""
Pa7@Laci-zsomboly_Paludárium,-,2.90,291.0,36.4,,,""
Pa7@Laci-zsomboly_Paludárium,-,0.76,104.9,-0.4,,,""
Pa7@Laci-zsomboly_Paludárium,-,2.28,91.6,-8.1,,,""
Pa7@Laci-zsomboly_Paludárium,-,2.85,75.2,-3.3,,,""
Pa7@Laci-zsomboly_Paludárium,-,2.64,66.4,-3.0,,,""
Pa7@Laci-zsomboly_Paludárium,-,1.00,15.6,-2.5,,,""
Pa7@Laci-zsomboly_Paludárium,-,0.95,37.8,-7.6,,,""
Pa7@Laci-zsomboly_Paludárium,-,0.91,46.0,-7.4,,,""
Pa7@Laci-zsomboly_Paludárium,-,1.10,339.6,4.6,,,""
Pa7@Laci-zsomboly_Paludárium,Pa8@Laci-zsomboly_Paludárium,2.75,75.8,-13.6,1,,""
Pa8@Laci-zsomboly_Paludárium,-,5.19,345.0,82.4,,,""
Pa8@Laci-zsomboly_Paludárium,-,0.95,309.0,31.1,,,""
Pa8@Laci-zsomboly_Paludárium,-,1.33,277.8,22.5,,,""
Pa8@Laci-zsomboly_Paludárium,-,2.81,253.6,17.8,,,""
Pa8@Laci-zsomboly_Paludárium,-,2.27,217.1,-51.6,,,""
Pa8@Laci-zsomboly_Paludárium,-,2.46,190.7,-57.0,,,""
Pa8@Laci-zsomboly_Paludárium,-,2.36,242.1,-33.8,,,""
Pa8@Laci-zsomboly_Paludárium,-,2.23,251.6,-31.1,,,""
Pa8@Laci-zsomboly_Paludárium,-,1.88,153.6,-50.0,,,""
Pa8@Laci-zsomboly_Paludárium,-,4.13,117.9,-29.7,,,""
Pa8@Laci-zsomboly_Paludárium,-,3.29,129.0,-39.8,,,""
Pa8@Laci-zsomboly_Paludárium,-,1.45,91.9,-41.6,,,""
Pa8@Laci-zsomboly_Paludárium,Pa9@Laci-zsomboly_Paludárium,5.21,110.1,-24.4,-1,,""
Pa9@Laci-zsomboly_Paludárium,-,3.03,16.6,11.7,,,""
Pa9@Laci-zsomboly_Paludárium,-,2.79,350.3,10.1,,,""
Pa9@Laci-zsomboly_Paludárium,-,3.03,336.8,15.1,,,""
Pa9@Laci-zsomboly_Paludárium,-,3.00,58.5,-2.8,,,""
Pa9@Laci-zsomboly_Paludárium,-,4.68,72.9,-3.1,,,""
Pa9@Laci-zsomboly_Paludárium,-,4.90,81.1,-4.6,,,""
Pa9@Laci-zsomboly_Paludárium,-,7.50,83.0,-0.7,,,""
Pa9@Laci-zsomboly_Paludárium,-,9.11,86.9,-1.8,,,""
Pa9@Laci-zsomboly_Paludárium,-,3.99,125.0,-18.4,,,""
Pa9@Laci-zsomboly_Paludárium,-,4.71,120.4,-10.4,,,""
Pa9@Laci-zsomboly_Paludárium,-,4.70,114.4,-9.1,,,""
Pa9@Laci-zsomboly_Paludárium,-,5.51,107.7,-11.5,,,""
Pa9@Laci-zsomboly_Paludárium,-,0.96,264.5,9.2,,,""
Pa9@Laci-zsomboly_Paludárium,-,2.65,266.1,10.1,,,""
Pa9@Laci-zsomboly_Paludárium,-,5.60,270.1,4.0,,,""
Pa9@Laci-zsomboly_Paludárium,Pa10@Laci-zsomboly_Paludárium,4.94,84.3,-9.2,0,,""
Pa10@Laci-zsomboly_Paludárium,-,3.24,293.9,-19.6,,,""
Pa10@Laci-zsomboly_Paludárium,-,4.24,285.5,-11.2,,,""
Pa10@Laci-zsomboly_Paludárium,-,4.81,279.7,-5.8,,,""
Pa10@Laci-zsomboly_Paludárium,-,2.39,179.6,-11.4,,,""
Pa10@Laci-zsomboly_Paludárium,-,1.46,157.4,-3.6,,,""
Pa10@Laci-zsomboly_Paludárium,-,2.52,192.0,-9.7,,,""
Pa10@Laci-zsomboly_Paludárium,-,2.89,198.9,-3.1,,,""
Pa10@Laci-zsomboly_Paludárium,-,3.66,210.2,-3.1,,,""
Pa10@Laci-zsomboly_Paludárium,-,3.61,226.0,-2.7,,,""
Pa10@Laci-zsomboly_Paludárium,-,4.41,237.2,4.4,,,""
Pa10@Laci-zsomboly_Paludárium,-,3.65,235.1,1.3,,,""
Pa10@Laci-zsomboly_Paludárium,-,4.87,248.9,8.5,,,""
Pa10@Laci-zsomboly_Paludárium,-,4.98,255.6,4.8,,,""
Pa10@Laci-zsomboly_Paludárium,-,5.23,262.8,0.5,,,""
Pa10@Laci-zsomboly_Paludárium,-,5.30,268.4,-0.7,,,""
Pa10@Laci-zsomboly_Paludárium,-,1.10,352.6,-21.7,,,""
Pa10@Laci-zsomboly_Paludárium,-,1.35,21.8,-8.7,,,""
Pa10@Laci-zsomboly_Paludárium,-,1.43,56.1,2.8,,,""
Pa10@Laci-zsomboly_Paludárium,-,1.70,68.0,-0.4,,,""
Pa10@Laci-zsomboly_Paludárium,-,1.79,146.1,-1.5,,,""
Pa10@Laci-zsomboly_Paludárium,-,3.04,129.5,0.1,,,""
Pa10@Laci-zsomboly_Paludárium,-,2.96,119.7,3.6,,,""
Pa10@Laci-zsomboly_Paludárium,-,3.39,115.3,5.2,,,""
Pa10@Laci-zsomboly_Paludárium,-,3.68,105.3,12.1,,,""
Pa10@Laci-zsomboly_Paludárium,-,5.60,98.6,12.5,,,""
Pa10@Laci-zsomboly_Paludárium,Pa11@Laci-zsomboly_Paludárium,4.28,88.6,17.3,0,,""
Pa11@Laci-zsomboly_Paludárium,-,1.33,192.7,31.8,,,""
Pa11@Laci-zsomboly_Paludárium,-,1.39,230.1,26.9,,,""
