# 2025.10.10 [*] created by TopoDroid v 6.3.52
# name: Laci_Fogadalom
# date: 2022.03.19
# team: NemLaci
# declination: 5.37
# units: tape meter compass clino degree
# from, to, tape, compass, clino, extend, flags, comment
18@Laci_Fogadalom,19@Laci_Fogadalom,10.39,222.8,5.3,-1,,""
19@Laci_Fogadalom,-,1.17,219.6,28.4,,,""
19@Laci_Fogadalom,-,1.78,181.7,34.4,,,""
19@Laci_Fogadalom,-,5.98,158.7,33.2,,,""
19@Laci_Fogadalom,-,4.76,133.4,31.2,,,""
19@Laci_Fogadalom,-,5.73,95.9,34.5,,,""
19@Laci_Fogadalom,-,8.51,79.2,33.5,,,""
19@Laci_Fogadalom,-,2.84,352.7,3.0,,,""
19@Laci_Fogadalom,-,6.82,21.2,2.0,,,""
19@Laci_Fogadalom,-,13.26,40.7,6.4,,,""
19@Laci_Fogadalom,-,9.34,51.7,11.4,,,""
19@Laci_Fogadalom,-,7.68,38.8,34.2,,,""
19@Laci_Fogadalom,-,6.08,36.3,51.7,,,""
19@Laci_Fogadalom,-,1.15,50.1,-68.2,,,""
19@Laci_Fogadalom,-,2.00,44.0,-54.7,,,""
19@Laci_Fogadalom,-,7.55,34.3,-49.4,,,""
19@Laci_Fogadalom,-,8.08,42.8,-40.3,,,""
19@Laci_Fogadalom,-,8.34,51.2,-26.4,,,""
19@Laci_Fogadalom,-,3.11,71.9,-17.0,,,""
19@Laci_Fogadalom,-,3.35,69.9,-0.6,,,""
19@Laci_Fogadalom,-,4.51,68.5,12.8,,,""
19@Laci_Fogadalom,-,8.99,67.4,26.4,,,""
19@Laci_Fogadalom,-,12.12,47.6,-47.8,,,""
19@Laci_Fogadalom,-,32.64,52.2,-39.0,,,""
19@Laci_Fogadalom,-,8.25,51.5,-17.2,,,""
19@Laci_Fogadalom,-,10.70,46.3,-10.1,,,""
19@Laci_Fogadalom,-,14.24,41.9,10.8,,,""
19@Laci_Fogadalom,20@Laci_Fogadalom,5.33,161.2,30.6,-1,,""
20@Laci_Fogadalom,-,0.61,123.9,22.8,,,""
20@Laci_Fogadalom,-,2.65,48.6,3.5,,,""
20@Laci_Fogadalom,-,15.95,22.4,-5.1,,,""
20@Laci_Fogadalom,-,0.75,43.6,81.3,,,""
20@Laci_Fogadalom,-,1.56,215.0,36.5,,,""
20@Laci_Fogadalom,-,2.28,234.7,28.2,,,""
20@Laci_Fogadalom,-,3.01,265.9,22.0,,,""
20@Laci_Fogadalom,-,4.50,28.7,-2.9,,,""
20@Laci_Fogadalom,-,10.99,23.0,0.6,,,""
20@Laci_Fogadalom,-,11.41,7.9,0.3,,,""
20@Laci_Fogadalom,-,10.65,352.5,-5.7,,,""
20@Laci_Fogadalom,-,4.04,341.5,-3.5,,,""
20@Laci_Fogadalom,-,3.56,337.6,-7.3,,,""
20@Laci_Fogadalom,-,10.52,11.4,-31.7,,,""
20@Laci_Fogadalom,-,2.16,296.8,9.8,,,""
20@Laci_Fogadalom,-,1.48,295.3,26.0,,,""
20@Laci_Fogadalom,-,1.09,298.1,40.5,,,""
20@Laci_Fogadalom,-,0.84,303.0,57.0,,,""
20@Laci_Fogadalom,-,0.73,303.4,-31.0,,,""
20@Laci_Fogadalom,21@Laci_Fogadalom,3.35,244.2,23.9,-1,,""
21@Laci_Fogadalom,-,1.63,296.4,18.0,,,""
21@Laci_Fogadalom,-,1.07,331.7,12.0,,,""
21@Laci_Fogadalom,-,1.37,7.8,-14.4,,,""
21@Laci_Fogadalom,-,0.65,20.6,8.0,,,""
21@Laci_Fogadalom,-,1.80,19.1,-21.1,,,""
21@Laci_Fogadalom,-,0.99,133.7,5.7,,,""
21@Laci_Fogadalom,-,1.26,147.6,11.3,,,""
21@Laci_Fogadalom,-,1.43,163.9,15.0,,,""
21@Laci_Fogadalom,-,1.54,182.2,17.5,,,""
21@Laci_Fogadalom,-,3.27,191.3,21.8,,,""
21@Laci_Fogadalom,-,0.57,263.3,35.2,,,""
21@Laci_Fogadalom,-,1.08,255.2,39.3,,,""
21@Laci_Fogadalom,-,1.83,282.8,24.2,,,""
